ostseq,ostname
1,탑건 : 매버릭 (Top Gun: Maverick) (영화 OST)
2,Avatar: The Way of Water (Original Motion Picture Soundtrack)
3,공조2: 인터내셔날
4,Doctor Strange in the Multiverse of Madness (Original Motion Picture Soundtrack)
5,올빼미 OST
6,Thor: Love and Thunder (Original Motion Picture Soundtrack)
7,Minions: The Rise Of Gru (Original Motion Picture Soundtrack)
8,Black Panther: Wakanda Forever (Original Score)
9,Spider-Man: No Way Home (Original Motion Picture Soundtrack) 영화 <스파이더맨: 노 웨이 홈> OST
10,영웅
11,브로커
12,Fantastic Beasts: The Secrets of Dumbledore (Original Motion Picture Soundtrack)
13,인생은 아름다워 OST
14,The Batman (Original Motion Picture Soundtrack)
15,데시벨 OST
16,항해 (데시벨 OST X 차은우)
17,정직한 후보 2 OST
18,Sing 2 (Original Motion Picture Soundtrack)
19,Black Adam (Original Motion Picture Soundtrack)
20,킹메이커 OST
21,Uncharted (Original Motion Picture Soundtrack)
22,"오늘 밤, 세계에서 이 사랑이 사라진다 해도 (今夜、世界からこの恋が消えても) Original Soundtrack"
23,이상한 나라의 수학자
24,고백 (영화 '동감' X 츄 (이달의 소녀))
25,습관 (Bye Bye) (영화 '동감' X meenoi (미노이))
26,개똥벌레 (영화 '동감' X 이무진)
27,너에게로 가는 길 (영화 '동감' X 엔플라잉 (N.Flying))
28,늘 지금처럼 (영화 '동감' X VIVIZ (비비지))
29,편지 (영화 '동감' X 윤하 (YOUNHA))
30,너를 위해 (영화 '동감' X 황치열)
31,Morbius (Original Motion Picture Soundtrack)
32,늑대사냥 OST
33,뽀로로 극장판 드래곤캐슬 대모험' OST
34,특송 OST
35,리멤버 OST
36,The King's Man (Original Motion Picture Soundtrack)
37,뜨거운 피 OST
